row_id,character,unicode_codepoint,standard_rank,standardizer_status,blocked_items,zdic_url,source_level
8105_full_4313,竑,U+7AD1,4313,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%AB%91,network_cross_reference_queue
8105_full_4318,闿,U+95FF,4318,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E9%97%BF,network_cross_reference_queue
8105_full_4320,羑,U+7F91,4320,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%BE%91,network_cross_reference_queue
8105_full_4330,烃,U+70C3,4330,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%83%83,network_cross_reference_queue
8105_full_4347,浕,U+6D55,4347,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%B5%95,network_cross_reference_queue
8105_full_4378,牁,U+7241,4378,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%89%81,network_cross_reference_queue
8105_full_4404,珰,U+73F0,4404,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%8F%B0,network_cross_reference_queue
8105_full_4407,珣,U+73E3,4407,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%8F%A3,network_cross_reference_queue
8105_full_4409,琤,U+7424,4409,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%90%A4,network_cross_reference_queue
8105_full_4411,敖,U+6556,4411,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%95%96,network_cross_reference_queue
8105_full_4461,栟,U+681F,4461,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%A0%9F,network_cross_reference_queue
8105_full_4467,鬲,U+9B32,4467,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E9%AC%B2,network_cross_reference_queue
8105_full_4546,䥽,U+497D,4546,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%A5%BD,network_cross_reference_queue
8105_full_4547,铎,U+94CE,4547,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E9%93%8E,network_cross_reference_queue
8105_full_4555,盉,U+76C9,4555,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%9B%89,network_cross_reference_queue
8105_full_4563,俵,U+4FF5,4563,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%BF%B5,network_cross_reference_queue
8105_full_4566,俶,U+4FF6,4566,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E4%BF%B6,network_cross_reference_queue
